#Coverage	Number of genomic locations
0.0	1.094352171E9
1.0	47902.0
2.0	6234.0
3.0	6003.0
4.0	4623.0
5.0	3194.0
6.0	2248.0
7.0	2144.0
8.0	1198.0
9.0	631.0
10.0	587.0
11.0	478.0
12.0	446.0
13.0	429.0
14.0	438.0
15.0	364.0
16.0	226.0
17.0	261.0
18.0	214.0
19.0	240.0
20.0	271.0
21.0	223.0
22.0	246.0
23.0	190.0
24.0	187.0
25.0	205.0
26.0	179.0
27.0	120.0
28.0	71.0
29.0	65.0
30.0	38.0
31.0	48.0
32.0	41.0
33.0	53.0
34.0	55.0
35.0	67.0
36.0	115.0
37.0	162.0
38.0	237.0
39.0	295.0
40.0	374.0
41.0	464.0
42.0	514.0
43.0	443.0
44.0	318.0
45.0	262.0
46.0	254.0
47.0	232.0
48.0	279.0
49.0	336.0
50.0	307.0
51.0	304.0
52.0	275.0
53.0	295.0
54.0	270.0
55.0	243.0
56.0	269.0
57.0	287.0
58.0	290.0
59.0	290.0
60.0	288.0
61.0	273.0
62.0	264.0
63.0	279.0
64.0	224.0
65.0	207.0
66.0	175.0
67.0	114.0
68.0	100.0
69.0	123.0
70.0	116.0
71.0	86.0
72.0	81.0
73.0	76.0
74.0	86.0
75.0	72.0
76.0	74.0
77.0	81.0
78.0	69.0
79.0	62.0
80.0	51.0
81.0	71.0
82.0	54.0
83.0	72.0
84.0	91.0
85.0	120.0
86.0	126.0
87.0	141.0
88.0	109.0
89.0	97.0
90.0	93.0
91.0	111.0
92.0	121.0
93.0	87.0
94.0	102.0
95.0	102.0
96.0	84.0
97.0	73.0
98.0	78.0
99.0	33.0
100.0	26.0
101.0	27.0
102.0	10.0
103.0	12.0
104.0	11.0
105.0	17.0
106.0	28.0
107.0	19.0
108.0	21.0
109.0	19.0
110.0	18.0
111.0	34.0
112.0	28.0
113.0	32.0
114.0	34.0
115.0	29.0
116.0	46.0
117.0	40.0
118.0	30.0
119.0	23.0
120.0	16.0
121.0	8.0
122.0	9.0
123.0	7.0
124.0	6.0
125.0	6.0
126.0	5.0
127.0	2.0
128.0	10.0
129.0	11.0
130.0	9.0
131.0	11.0
132.0	14.0
133.0	23.0
134.0	19.0
135.0	24.0
136.0	23.0
137.0	31.0
138.0	46.0
139.0	40.0
140.0	32.0
141.0	11.0
142.0	2.0
144.0	1.0
145.0	1.0
146.0	1.0
148.0	1.0
150.0	2.0
151.0	1.0
154.0	1.0
155.0	1.0
156.0	2.0
159.0	1.0
160.0	1.0
161.0	2.0
162.0	2.0
163.0	1.0
164.0	1.0
166.0	2.0
167.0	2.0
168.0	1.0
169.0	3.0
170.0	2.0
171.0	3.0
172.0	5.0
174.0	3.0
175.0	3.0
177.0	2.0
178.0	6.0
179.0	5.0
180.0	8.0
181.0	8.0
182.0	4.0
183.0	9.0
184.0	14.0
185.0	17.0
186.0	17.0
187.0	13.0
188.0	28.0
189.0	31.0
190.0	39.0
191.0	45.0
192.0	53.0
193.0	56.0
194.0	48.0
195.0	55.0
196.0	55.0
197.0	37.0
198.0	43.0
199.0	47.0
200.0	29.0
201.0	46.0
202.0	34.0
203.0	32.0
204.0	25.0
205.0	21.0
206.0	25.0
207.0	16.0
208.0	12.0
209.0	13.0
210.0	15.0
211.0	15.0
212.0	17.0
213.0	16.0
214.0	14.0
215.0	10.0
216.0	15.0
217.0	13.0
218.0	13.0
219.0	21.0
220.0	18.0
221.0	15.0
222.0	20.0
223.0	9.0
224.0	22.0
225.0	14.0
226.0	15.0
227.0	20.0
228.0	14.0
229.0	21.0
230.0	21.0
231.0	16.0
232.0	18.0
233.0	13.0
234.0	18.0
235.0	20.0
236.0	23.0
237.0	23.0
238.0	22.0
239.0	21.0
240.0	18.0
241.0	30.0
242.0	23.0
243.0	17.0
244.0	14.0
245.0	8.0
246.0	10.0
247.0	6.0
248.0	6.0
249.0	9.0
250.0	9.0
251.0	7.0
252.0	9.0
253.0	14.0
254.0	10.0
255.0	8.0
256.0	13.0
257.0	9.0
258.0	9.0
259.0	17.0
260.0	4.0
261.0	11.0
262.0	19.0
263.0	18.0
264.0	9.0
265.0	18.0
266.0	12.0
267.0	18.0
268.0	21.0
269.0	17.0
270.0	15.0
271.0	6.0
272.0	3.0
273.0	2.0
