Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples,
0,1,0,0,0,5081,226,406,0,0,
1,8,0,0,0,55860,2861,5146,0,0,
2,19,0,0,0,155183,7515,13519,0,0,
3,31,0,0,0,291962,14561,26198,0,0,
4,51,0,0,0,471348,23653,42555,0,0,
5,57,0,0,0,512100,25783,46387,0,0,
6,71,0,0,0,659277,33391,60076,0,0,
7,80,0,0,0,706576,35853,64505,0,0,
8,91,0,0,0,893752,45758,82330,0,0,
9,105,0,0,0,1005185,51317,92330,0,0,
10,124,0,0,0,1184010,60318,108523,0,0,
11,145,0,0,0,1305258,66279,119244,0,0,
12,160,0,0,0,1423506,72187,129873,0,0,
13,177,0,0,0,1576949,79839,143638,0,0,
14,191,0,0,0,1672286,84141,151376,0,0,
15,206,0,0,0,1799721,90557,162919,0,0,
16,220,0,0,0,1939942,97780,175914,0,0,
17,242,0,0,0,2252674,113075,203436,0,0,
18,264,0,0,0,2486743,124883,224680,0,0,
19,286,0,0,0,2629553,131740,237014,0,0,
20,307,0,0,0,2815059,140455,252692,0,0,
21,325,0,0,0,2985962,148859,267813,0,0,
22,353,0,0,0,3310054,165830,298353,0,0,
23,372,0,0,0,3521035,176333,317250,0,0,
24,389,0,0,0,3688821,184795,332475,0,0,
25,413,0,0,0,3881203,194451,349846,0,0,
26,433,0,0,0,4061368,202682,364654,0,0,
27,457,0,0,0,4320938,215781,388223,0,0,
28,478,0,0,0,4549721,227362,409060,0,0,
29,494,0,0,0,4781268,239462,430833,0,0,
30,516,0,0,0,4994077,250586,450848,0,0,
31,531,0,0,0,5166992,258964,465923,0,0,
32,556,0,0,0,5468863,274543,493956,0,0,
33,575,0,0,0,5613934,281723,506872,0,0,
34,599,0,0,0,5765132,288856,519701,0,0,
35,616,0,0,0,5972365,298859,537697,0,0,
36,644,0,0,0,6323386,316602,569621,0,0,
37,672,0,0,0,6577832,329162,592217,0,0,
38,693,0,0,0,6816011,341063,613629,0,0,
39,717,0,0,0,7079061,354452,637722,0,0,
40,745,0,0,0,7282095,364289,655415,0,0,
41,770,0,0,0,7520687,376277,676985,0,0,
42,798,0,0,0,7842262,392545,706256,0,0,
43,827,0,0,0,8152866,408240,734496,0,0,
44,856,0,0,0,8484890,424026,762898,0,0,
45,870,0,0,0,8585681,429069,771969,0,0,
46,891,0,0,0,8837307,441843,794954,0,0,
47,918,0,0,0,9152211,457215,822611,0,0,
48,945,0,0,0,9424488,470634,846753,0,0,
49,976,0,0,0,9683623,483551,869993,0,0,
50,1009,0,0,0,10018259,499661,898976,0,0,
51,1032,0,0,0,10243394,510621,918695,0,0,
52,1057,0,0,0,10530821,524863,944319,0,0,
53,1082,0,0,0,10801575,538400,968674,0,0,
54,1105,0,0,0,11026331,550116,989754,0,0,
55,1143,0,0,0,11332401,564836,1016236,0,0,
56,1169,0,0,0,11705124,583650,1050091,0,0,
57,1193,0,0,0,11925949,594791,1070136,0,0,
58,1215,0,0,0,12303094,613356,1103546,0,0,
59,1240,0,0,0,12518110,623849,1122423,0,0,
60,1269,0,0,0,12850632,640361,1152132,0,0,
61,1299,0,0,0,13156676,655695,1179719,0,0,
62,1334,0,0,0,13483971,672120,1209269,0,0,
63,1359,0,0,0,13790912,687893,1237651,0,0,
64,1382,0,0,0,13990179,697122,1254251,0,0,
65,1408,0,0,0,14235003,709540,1276594,0,0,
66,1433,0,0,0,14580966,727165,1308311,0,0,
67,1475,0,0,0,14951987,745298,1340936,0,0,
68,1509,0,0,0,15298487,762347,1371611,0,0,
69,1533,0,0,0,15624141,778334,1400377,0,0,
70,1566,0,0,0,15960114,794172,1428871,0,0,
71,1599,0,0,0,16364575,814218,1464940,0,0,
72,1626,0,0,0,16651721,827997,1489731,0,0,
73,1647,0,0,0,16871156,838804,1509176,0,0,
74,1671,0,0,0,17194936,855173,1538631,0,0,
75,1694,0,0,0,17437340,867496,1560803,0,0,
76,1726,0,0,0,17681693,879870,1583065,0,0,
77,1757,0,0,0,18055318,897778,1615285,0,0,
78,1788,0,0,0,18349048,912310,1641428,0,0,
79,1808,0,0,0,18653702,927824,1669345,0,0,
80,1832,0,0,0,18973873,942992,1696637,0,0,
81,1864,0,0,0,19376228,963497,1733529,0,0,
82,1890,0,0,0,19802354,984000,1770421,0,0,
83,1920,0,0,0,20148002,1001518,1801944,0,0,
84,1947,0,0,0,20443204,1016202,1828364,0,0,
85,1979,0,0,0,20739457,1029927,1853055,0,0,
86,2010,0,0,0,20995063,1042209,1875151,0,0,
87,2034,0,0,0,21191618,1051863,1892520,0,0,
88,2062,0,0,0,21590343,1071299,1927493,0,0,
89,2094,0,0,0,22034681,1094460,1969168,0,0,
90,2119,0,0,0,22347132,1110314,1997699,0,0,
91,2153,0,0,0,22718482,1129092,2031486,0,0,
92,2169,0,0,0,22992339,1143004,2056519,0,0,
93,2203,0,0,0,23458349,1166985,2099672,0,0,
94,2238,0,0,0,23945093,1191260,2143353,0,0,
95,2265,0,0,0,24188366,1202615,2163780,0,0,
96,2295,0,0,0,24506284,1218810,2192920,0,0,
97,2317,0,0,0,24709864,1229211,2211633,0,0,
98,2349,0,0,0,25204559,1253562,2255450,0,0,
99,2369,0,0,0,25533158,1269908,2284866,0,0,
100,2390,0,0,0,25783171,1282355,2307263,0,0,
101,2422,0,0,0,26102904,1297415,2334358,0,0,
102,2450,0,0,0,26564060,1321161,2377092,0,0,
103,2480,0,0,0,26909468,1338338,2407999,0,0,
104,2517,0,0,0,27345367,1360115,2447181,0,0,
105,2539,0,0,0,27669725,1376631,2476901,0,0,
106,2569,0,0,0,28123639,1399924,2518816,0,0,
107,2599,0,0,0,28452051,1415994,2547730,0,0,
108,2632,0,0,0,28839359,1435708,2583199,0,0,
109,2661,0,0,0,29132017,1448458,2606137,0,0,
110,2692,0,0,0,29462800,1464820,2635576,0,0,
111,2733,0,0,0,30031353,1493559,2687289,0,0,
112,2754,0,0,0,30303671,1507138,2711721,0,0,
113,2794,0,0,0,30819774,1533985,2760029,0,0,
114,2833,0,0,0,31229837,1554083,2796192,0,0,
115,2877,0,0,0,31861963,1586071,2853753,0,0,
116,2917,0,0,0,32264138,1605754,2889165,0,0,
117,2951,0,0,0,32675277,1626016,2925623,0,0,
118,2986,0,0,0,33177693,1651786,2971995,0,0,
119,3025,0,0,0,33602528,1673396,3010880,0,0,
120,3057,0,0,0,33997358,1693364,3046806,0,0,
121,3085,0,0,0,34304892,1708870,3074707,0,0,
122,3125,0,0,0,34689705,1727469,3108168,0,0,
