#Position (bp)	Coverage
109445.5	0.0
328335.5	0.0
547225.5	0.0
766115.5	0.0
985005.5	0.0
1203895.5	0.0
1422785.5	0.0
1641675.5	0.0
1860565.5	0.0
2079455.5	0.0
2298345.5	0.0
2517235.5	0.0
2736125.5	0.0
2955015.5	0.0
3173905.5	0.0
3392795.5	0.0
3611685.5	0.0
3830575.5	0.0
4049465.5	0.0
4268355.5	0.0
4487245.5	0.0
4706135.5	0.0
4925025.5	0.0
5143915.5	0.0
5362805.5	0.0
5581695.5	0.0
5800585.5	0.0
6019475.5	0.0
6238365.5	0.0
6457255.5	0.0
6676145.5	0.0
6895035.5	0.0
7113925.5	0.0
7332815.5	0.0
7551705.5	0.0
7770595.5	0.0
7989485.5	0.0
8208375.5	0.0
8427265.5	0.0
8646155.5	0.0
8865045.5	0.0
9083935.5	0.0
9302825.5	0.0
9521715.5	0.0
9740605.5	0.0
9959495.5	0.0
1.01783855E7	0.0
1.03972755E7	0.0
1.06161655E7	0.0
1.08350555E7	0.0
1.10539455E7	0.0
1.12728355E7	0.0
1.14917255E7	0.0
1.17106155E7	0.0
1.19295055E7	0.0
1.21483955E7	0.0
1.23672855E7	0.0
1.25861755E7	0.0
1.28050655E7	0.0
1.30239555E7	0.0
1.32428455E7	0.0
1.34617355E7	0.0
1.36806255E7	0.0
1.38995155E7	0.0
1.41184055E7	0.0
1.43372955E7	0.0
1.45561855E7	0.0
1.47750755E7	0.0
1.49939655E7	0.0
1.52128555E7	0.0
1.54317455E7	0.0
1.56506355E7	0.0
1.58695255E7	0.0
1.60884155E7	0.0
1.63073055E7	0.0
1.65261955E7	0.0019553200237562244
1.67450855E7	0.0
1.69639755E7	0.0
1.71828655E7	0.0
1.74017555E7	0.0
1.76206455E7	0.0
1.78395355E7	0.0
1.80584255E7	0.0
1.82773155E7	0.0
1.84962055E7	0.0
1.87150955E7	0.0
1.89339855E7	0.0
1.91528755E7	0.0
1.93717655E7	0.0
1.95906555E7	0.0
1.98095455E7	0.0
2.00284355E7	0.0
2.02473255E7	0.0
2.04662155E7	0.0
2.06851055E7	0.0
2.09039955E7	0.0
2.11228855E7	0.0
2.13417755E7	0.0
2.15606655E7	0.0
2.17795555E7	0.0
2.19984455E7	0.0
2.22173355E7	0.0
2.24362255E7	0.0
2.26551155E7	0.0
2.28740055E7	0.0
2.30928955E7	0.0
2.33117855E7	0.0
2.35306755E7	0.0
2.37495655E7	0.0
2.39684555E7	0.0
2.41873455E7	0.0
2.44062355E7	0.0
2.46251255E7	0.0
2.48440155E7	0.0
2.50629055E7	0.0
2.52817955E7	0.0
2.55006855E7	0.0
2.57195755E7	0.0
2.59384655E7	0.0
2.61573555E7	0.0
2.63762455E7	0.0
2.65951355E7	0.0
2.68140255E7	0.0
2.70329155E7	0.0
2.72518055E7	0.0
2.74706955E7	0.0
2.76895855E7	0.0
2.79084755E7	0.0
2.81273655E7	0.0
2.83462555E7	0.0
2.85651455E7	0.0
2.87840355E7	0.0
2.90029255E7	0.0
2.92218155E7	0.0
2.94407055E7	0.0
2.96595955E7	0.0
2.98784855E7	0.0
3.00973755E7	0.0
3.03162655E7	0.0
3.05351555E7	0.0
3.07540455E7	0.0
3.09729355E7	0.0
3.11918255E7	0.0
3.14107155E7	0.0
3.16296055E7	0.0
3.18484955E7	0.0
3.20673855E7	0.0
3.22862755E7	0.0
3.25051655E7	0.0
3.27240555E7	0.0
3.29429455E7	0.0
3.31618355E7	0.0
3.33807255E7	0.0
3.35996155E7	0.0
3.38185055E7	0.0
3.40373955E7	0.0
3.42562855E7	0.0
3.44751755E7	0.0
3.46940655E7	0.0
3.49129555E7	0.0
3.51318455E7	0.0
3.53507355E7	0.0
3.55696255E7	0.0
3.57885155E7	0.0
3.60074055E7	0.0
3.62262955E7	0.0
3.64451855E7	0.0
3.66640755E7	0.0
3.68829655E7	0.0
3.71018555E7	0.0
3.73207455E7	0.0
3.75396355E7	0.0
3.77585255E7	0.0
3.79774155E7	0.0
3.81963055E7	0.0
3.84151955E7	0.0
3.86340855E7	0.0
3.88529755E7	0.0
3.90718655E7	0.0
3.92907555E7	0.0
3.95096455E7	0.0
3.97285355E7	0.0
3.99474255E7	0.0
4.01663155E7	0.0
4.03852055E7	0.0
4.06040955E7	0.0
4.08229855E7	0.0
4.10418755E7	0.0
4.12607655E7	0.0
4.14796555E7	0.0
4.16985455E7	0.0
4.19174355E7	0.0
4.21363255E7	0.0
4.23552155E7	0.0
4.25741055E7	0.0
4.27929955E7	0.0
4.30118855E7	0.0
4.32307755E7	0.0
4.34496655E7	0.0
4.36685555E7	0.0
4.38874455E7	0.0
4.41063355E7	0.0
4.43252255E7	0.0
4.45441155E7	0.0
4.47630055E7	0.0
4.49818955E7	0.0
4.52007855E7	0.0
4.5369628E7	0.0
4.5479073E7	0.0
4.56385655E7	0.0
4.58574555E7	0.0
4.60763455E7	0.0
4.62952355E7	0.0
4.65141255E7	0.0
4.67330155E7	0.0
4.69519055E7	0.0
4.71707955E7	0.0
4.73896855E7	0.0
4.76085755E7	0.0
4.78274655E7	0.0
4.80463555E7	0.0
4.82652455E7	0.0
4.84841355E7	0.0
4.87030255E7	0.0
4.89219155E7	0.0
4.91408055E7	0.0
4.93596955E7	0.0
4.95785855E7	0.0
4.97974755E7	0.0
5.00163655E7	0.0
5.02352555E7	0.0
5.04541455E7	0.0
5.06730355E7	0.0
5.08919255E7	0.0
5.11108155E7	0.0
5.13297055E7	0.0
5.15485955E7	0.0
5.17674855E7	0.0
5.19863755E7	0.0
5.22052655E7	0.0
5.24241555E7	0.0
5.26430455E7	0.0
5.28619355E7	0.0
5.30808255E7	0.0
5.32997155E7	0.0
5.35186055E7	0.0
5.37374955E7	0.0
5.39563855E7	0.0
5.41752755E7	0.0
5.43941655E7	0.0
5.46130555E7	0.0
5.48319455E7	0.0
5.50508355E7	0.0
5.52697255E7	0.0
5.54886155E7	0.0
5.57075055E7	0.0
5.59263955E7	0.0
5.61452855E7	0.0
5.63641755E7	0.0
5.65830655E7	0.0
5.68019555E7	0.0
5.70208455E7	0.0
5.72397355E7	0.0
5.74586255E7	0.0
5.76775155E7	0.0
5.78964055E7	0.0
5.81152955E7	0.0
5.83341855E7	0.0
5.85530755E7	0.0
5.87719655E7	0.0
5.89908555E7	0.0
5.92097455E7	0.0
5.94286355E7	0.0
5.96475255E7	0.0
5.98664155E7	0.0
6.00853055E7	0.0
6.03041955E7	0.0
6.05230855E7	0.0
6.07419755E7	0.0
6.09608655E7	0.0
6.11797555E7	0.0
6.13986455E7	0.0
6.16175355E7	0.0
6.18364255E7	0.0
6.20553155E7	0.0
6.22742055E7	0.0
6.24930955E7	0.0
6.27119855E7	0.0
6.29308755E7	0.0
6.31497655E7	0.0
6.33686555E7	0.0
6.35875455E7	0.0
6.38064355E7	0.0
6.40253255E7	0.0
6.42442155E7	0.0
6.44631055E7	0.0
6.46819955E7	0.0
6.49008855E7	0.0
6.51197755E7	0.0
6.53386655E7	0.0
6.55575555E7	0.0
6.57764455E7	0.0
6.59953355E7	0.0
6.62142255E7	0.0
6.64331155E7	0.0
6.66520055E7	0.0
6.68708955E7	0.0
6.70897855E7	0.0
6.73086755E7	0.0
6.75275655E7	0.0
6.77464555E7	0.0
6.79653455E7	0.0
6.81842355E7	0.0
6.84031255E7	0.0
6.86220155E7	0.0
6.88409055E7	0.0
6.90597955E7	0.0
6.92786855E7	0.0
6.94975755E7	0.0
6.97164655E7	0.0
6.99353555E7	0.0
7.01542455E7	0.0
7.03731355E7	0.0
7.05920255E7	0.0
7.08109155E7	0.0
7.10298055E7	0.0
7.12486955E7	0.0
7.14675855E7	0.0
7.16864755E7	0.0
7.19053655E7	0.0
7.21242555E7	0.0
7.23431455E7	0.0
7.25620355E7	0.0
7.27809255E7	0.0
7.29998155E7	0.0
7.32187055E7	0.0
7.34375955E7	0.0
7.36564855E7	0.0
7.38753755E7	0.0
7.40942655E7	0.0
7.43131555E7	0.0
7.45320455E7	0.0
7.47509355E7	0.0
7.49698255E7	0.0
7.51887155E7	0.0
7.54076055E7	0.0
7.56264955E7	0.0
7.58453855E7	0.0
7.60642755E7	0.0
7.62831655E7	0.0
7.65020555E7	0.0
7.67209455E7	0.0
7.69398355E7	0.0
7.71587255E7	0.0
7.73776155E7	0.0
7.75965055E7	0.0
7.78153955E7	0.0
7.80342855E7	0.0
7.82531755E7	0.0
7.84720655E7	0.0
7.86909555E7	0.0
7.89098455E7	0.0
7.91287355E7	0.0
7.93476255E7	0.0
7.95665155E7	0.0
7.97854055E7	0.0
8.00042955E7	0.0
8.02231855E7	0.0
8.04420755E7	0.0
8.06609655E7	0.0
8.08798555E7	0.0
8.10987455E7	0.0
8.13176355E7	0.0
8.15365255E7	0.0
8.17554155E7	0.0
8.19743055E7	0.0
8.21931955E7	0.0
8.24120855E7	0.0
8.26309755E7	0.0
8.28498655E7	0.0
8.30687555E7	0.0
8.32876455E7	0.0
8.35065355E7	0.0
8.37254255E7	0.0
8.39443155E7	0.0
8.41632055E7	0.0
8.43820955E7	0.0
8.46009855E7	0.0
8.48198755E7	0.0
8.50387655E7	0.0
8.52576555E7	0.0
8.54765455E7	0.0
8.56954355E7	0.0
8.584642E7	0.0
8.5955865E7	0.0
8.61332155E7	0.0
8.63521055E7	0.0
8.65709955E7	0.0
8.67898855E7	0.0
8.70087755E7	0.0
8.72276655E7	0.0
8.74465555E7	0.0
8.76654455E7	0.0
8.78843355E7	0.0
8.81032255E7	0.0
8.83221155E7	0.0
8.85410055E7	0.0
8.87598955E7	0.0
8.89787855E7	0.0
8.91976755E7	0.0
8.94165655E7	0.0
8.96354555E7	0.0
8.98543455E7	0.0
9.00732355E7	0.0
9.02921255E7	0.0
9.05110155E7	0.0
9.07299055E7	0.0
9.09487955E7	0.0
9.11676855E7	0.0
9.13865755E7	0.0
9.16054655E7	0.0
9.18243555E7	0.0
9.20432455E7	0.0
9.22621355E7	0.0
9.24810255E7	0.0
9.26999155E7	0.0
9.29188055E7	0.0
9.31376955E7	0.0
9.33565855E7	0.0
9.35754755E7	0.0
9.37943655E7	0.0
9.40132555E7	0.0
9.42321455E7	0.0
9.44510355E7	0.0
9.46699255E7	0.0
9.48888155E7	0.0
9.51077055E7	0.0
9.53265955E7	0.0
9.55454855E7	0.0
9.57643755E7	0.0
9.59832655E7	0.0
9.62021555E7	0.0
9.64210455E7	0.0
9.66399355E7	0.0
9.68588255E7	0.0
9.70777155E7	0.0
9.72966055E7	0.0
9.75154955E7	0.0
9.77343855E7	0.0
9.79532755E7	0.0
9.81721655E7	0.0
9.83910555E7	0.0
9.86099455E7	0.0
9.88288355E7	0.0
9.90477255E7	0.0
9.92666155E7	0.0
9.94855055E7	0.0
9.97043955E7	0.0
9.99232855E7	0.0
1.001421755E8	0.0
1.003610655E8	0.0
1.005799555E8	0.0
1.007988455E8	0.0
1.010177355E8	0.0
1.012366255E8	0.0
1.014555155E8	0.0
1.016744055E8	0.0
1.018932955E8	0.0
1.021121855E8	0.0
1.023310755E8	0.0
1.025499655E8	0.0
1.027688555E8	0.0
1.029877455E8	0.0
1.032066355E8	0.0
1.034255255E8	0.0
1.036444155E8	0.0
1.038633055E8	0.0
1.040821955E8	0.0
1.043010855E8	0.0
1.045199755E8	0.0
1.047388655E8	0.0
1.049577555E8	0.0
1.051766455E8	0.0
1.053955355E8	0.0
1.056144255E8	0.0
1.058333155E8	0.0
1.060522055E8	0.0
1.062710955E8	0.0
1.064899855E8	0.0
1.067088755E8	0.0
1.069277655E8	0.0
1.071466555E8	0.0
1.073655455E8	0.0
1.075844355E8	0.0
1.078033255E8	0.0
1.080222155E8	0.0
1.082411055E8	0.0
1.084599955E8	0.0
1.086788855E8	0.0
1.088977755E8	0.0
1.091166655E8	0.0
1.093355555E8	0.0
1.095544455E8	0.0
1.097733355E8	0.0
1.099922255E8	0.0
1.102111155E8	0.0
1.104300055E8	0.0
1.106488955E8	0.0
1.108677855E8	0.0
1.110866755E8	0.0
1.113055655E8	0.0
1.115244555E8	0.0
1.117433455E8	0.0
1.119622355E8	0.0
1.121811255E8	0.0
1.124000155E8	0.0
1.126189055E8	0.0
1.128377955E8	0.0
1.130566855E8	0.0
1.132755755E8	0.0
1.134944655E8	0.0
1.137133555E8	0.0
1.139322455E8	0.0
1.141511355E8	0.0
1.143700255E8	0.0
1.145889155E8	0.0
1.148078055E8	0.0
1.150266955E8	0.0
1.152455855E8	0.0
1.154644755E8	0.0
1.156833655E8	0.0
1.159022555E8	0.0
1.161211455E8	0.0
1.163400355E8	0.0
1.165589255E8	0.0
1.167778155E8	0.0
1.169967055E8	0.0
1.172155955E8	0.0
1.174344855E8	0.0
1.176533755E8	0.0
1.178722655E8	0.0
1.180911555E8	0.0
1.183100455E8	0.0
1.185289355E8	0.0
1.187478255E8	0.0
1.189667155E8	0.0
1.191856055E8	0.0
1.194044955E8	0.0
1.196233855E8	0.0
1.198422755E8	0.0
1.200611655E8	0.0
1.202800555E8	0.0
1.204989455E8	0.0
1.207178355E8	0.0
1.209367255E8	0.0
1.211556155E8	0.0
1.213745055E8	0.0
1.215933955E8	0.0
1.218122855E8	0.0
1.220125905E8	0.0
1.221220355E8	0.0
1.222500655E8	0.0
1.224689555E8	0.0
1.226878455E8	0.0
1.229067355E8	0.0
1.231256255E8	0.0
1.233445155E8	0.0
1.235634055E8	0.0
1.237822955E8	0.0
1.240011855E8	0.0
1.242200755E8	0.0
1.244389655E8	0.0
1.246578555E8	0.0
1.248767455E8	0.0
1.250956355E8	0.0
1.253145255E8	0.0
1.255334155E8	0.0
1.257523055E8	0.0
1.259711955E8	0.0
1.261900855E8	0.0
1.264089755E8	0.0
1.266278655E8	0.0
1.268467555E8	0.0
1.270656455E8	0.0
1.272845355E8	0.0
1.275034255E8	0.0
1.277223155E8	0.0
1.279412055E8	0.0
1.281600955E8	0.0
1.283789855E8	0.0
1.285978755E8	0.0
1.288167655E8	0.0
1.290356555E8	0.0
1.292545455E8	0.0
1.294734355E8	0.0
1.296923255E8	0.0
1.299112155E8	0.0
1.301301055E8	0.0
1.303489955E8	0.0
1.305678855E8	0.0
1.307867755E8	0.0
1.310056655E8	0.0
1.312245555E8	0.0
1.314434455E8	0.0
1.316623355E8	0.0
1.318812255E8	0.0
1.321001155E8	0.0
1.323190055E8	0.0
1.325378955E8	0.0
1.327567855E8	0.0
1.329756755E8	0.0
1.331945655E8	0.0
1.334134555E8	0.0
1.336323455E8	0.0
1.338512355E8	0.0
1.340701255E8	0.0
1.342890155E8	0.0
1.345079055E8	0.0
1.347267955E8	0.0
1.349456855E8	0.0
1.351645755E8	0.0
1.353834655E8	0.0
1.356023555E8	0.0
1.358212455E8	0.0
1.360401355E8	0.0
1.362590255E8	0.0
1.364779155E8	0.0
1.366968055E8	0.0
1.369156955E8	0.0
1.371345855E8	0.0
1.373534755E8	0.0
1.375723655E8	0.0
1.377912555E8	0.0
1.380101455E8	0.0
1.382290355E8	0.0
1.384479255E8	0.0
1.386668155E8	0.0
1.388857055E8	0.0
1.391045955E8	0.0
1.393234855E8	0.0
1.395423755E8	0.0
1.397612655E8	0.0
1.399801555E8	0.0
